id,nhom_hang,ten_mat_hang,gia_vnd,hinh_anh,,,,,,
1,Áo thể thao,Áo thun nam ngắn tay lụa băng,"473,000",assets/products/sp1.jpg,,,,,,
2,Áo thể thao,Áo thun nam thể thao,"1,182,800",assets/products/sp2.jpg,,,,,,
3,Áo thể thao,Áo thể thao chạy bộ nhanh khô,"1,182,800",assets/products/sp3.jpg,,,,,,
4,Áo thể thao,Áo phông nhanh khô áo chạy bộ tập luyện,"473,000",assets/products/sp4.jpg,,,,,,
5,Áo thể thao,Áo phông thể thao,"1,237,000",assets/products/sp5.jpg,,,,,,
6,Đồ bộ,Bộ thể thao mùa hè mỏng,"1,260,000",assets/products/sp6.jpg,,,,,,
7,Đồ bộ,Bộ vest nhanh khô quần áo thể thao,"1,260,000",assets/products/sp7.jpg,,,,,,
8,Đồ bộ,Bộ đồ thể thao nam size lớn,"1,300,000",assets/products/sp8.jpg,,,,,,
9,Đồ bộ,Bộ đồ thể thao nhanh khô cảm,"1,260,000",assets/products/sp9.jpg,,,,,,
10,Đồ bộ,Bộ đồ thể thao nam hai mảnh áo phông cổ tròn,"1,300,000",assets/products/sp10.jpg,,,,,,
11,Đồ bơi,Đồ bơi liền thân trẻ em,"3,309,000",assets/products/sp11.jpg,,,,,,
12,Đồ bơi,Quần bơi trẻ em boxer,"1,418,000",assets/products/sp12.jpg,,,,,,
13,Đồ bơi,Ván nổi thông minh Asiwo dành cho người lớn,"949,200",assets/products/sp13.jpg,,,,,,
14,Đồ bơi,Chân chèo bơi TOSWIM,"1,403,000",assets/products/sp14.jpg,,,,,,
15,Đồ bơi,Kính bơi trẻ em,"1,971,000",assets/products/sp15.jpg,,,,,,
16,Áo ba lỗ,Áo ba lỗ thể thao nam kiểu Mỹ,"1,222,000",assets/products/sp16.jpg,,,,,,
17,Áo ba lỗ,Áo vest nam mùa hè thoáng khí lụa băng,"473,000",assets/products/sp17.jpg,,,,,,
18,Áo ba lỗ,Áo ba lỗ thể thao chạy bộ,"1,024,000",assets/products/sp18.jpg,,,,,,
19,Áo ba lỗ,Áo gile thể thao nam mùa hè,"2,285,000",assets/products/sp19.jpg,,,,,,
20,Áo ba lỗ,Áo vest nam mùa hè mới,"1,221,000",assets/products/sp20.jpg,,,,,,
21,Quần thể thao,Quần jogger ống rộng,"1,812,000",assets/products/sp21.jpg,,,,,,
22,Quần thể thao,Quần chín phân thể thao điền kinh,"1,418,000",assets/products/sp22.jpg,,,,,,
23,Quần thể thao,Quần short thể thao mùa hè,"1,826,000",assets/products/sp23.jpg,,,,,,
24,Quần thể thao,Quần ba phần tư lụa băng siêu mỏng,"913,000",assets/products/sp24.jpg,,,,,,
25,Quần thể thao,Lulu Nhanh Khô Quần Chạy Bộ Huấn Luyện,"2,407,000",assets/products/sp25.jpg,,,,,,
